[Choosing CUDA device...]
NVIDIA A40
[Creating frb kernel...]
[Done creating frb kernel]
CHORD FRB beamformer
Compiling kernel...
Allocating input data...
Setting up input data...
dish = 249
freq = 137
polr = 0
time = 1068
Wvalue = 0.36607796f0 - 0.7806393f0im
Evalue = 2 + 7im
dstime = 26
Copying data from CPU to GPU...
Running kernel...
Copying data back from GPU to CPU...
Checking results...
    I:
        beamp=25 beamq=1 freq=137 dstime=26 I=0.12322998 I₀=39.40625
        beamp=26 beamq=1 freq=137 dstime=26 I=0.12322998 I₀=39.40625
        beamp=27 beamq=1 freq=137 dstime=26 I=0.123291016 I₀=39.40625
        beamp=28 beamq=1 freq=137 dstime=26 I=0.123291016 I₀=39.40625
        beamp=29 beamq=1 freq=137 dstime=26 I=0.123291016 I₀=39.40625
        beamp=30 beamq=1 freq=137 dstime=26 I=0.12322998 I₀=39.40625
        beamp=31 beamq=1 freq=137 dstime=26 I=0.12322998 I₀=39.40625
        beamp=32 beamq=1 freq=137 dstime=26 I=0.123291016 I₀=39.40625
        beamp=33 beamq=1 freq=137 dstime=26 I=0.123291016 I₀=39.40625
        beamp=34 beamq=1 freq=137 dstime=26 I=0.123413086 I₀=39.40625
        beamp=35 beamq=1 freq=137 dstime=26 I=0.123291016 I₀=39.40625
        beamp=36 beamq=1 freq=137 dstime=26 I=0.123413086 I₀=39.40625
        beamp=37 beamq=1 freq=137 dstime=26 I=0.12322998 I₀=39.40625
        beamp=38 beamq=1 freq=137 dstime=26 I=0.12322998 I₀=39.40625
        beamp=39 beamq=1 freq=137 dstime=26 I=0.123291016 I₀=39.40625
        beamp=40 beamq=1 freq=137 dstime=26 I=0.123291016 I₀=39.40625
        beamp=41 beamq=1 freq=137 dstime=26 I=0.12322998 I₀=39.40625
        beamp=42 beamq=1 freq=137 dstime=26 I=0.12322998 I₀=39.40625
        beamp=43 beamq=1 freq=137 dstime=26 I=0.123291016 I₀=39.40625
        beamp=44 beamq=1 freq=137 dstime=26 I=0.123291016 I₀=39.40625
        beamp=45 beamq=1 freq=137 dstime=26 I=0.123291016 I₀=39.40625
        beamp=46 beamq=1 freq=137 dstime=26 I=0.12322998 I₀=39.40625
        beamp=47 beamq=1 freq=137 dstime=26 I=0.123291016 I₀=39.40625
        beamp=0 beamq=2 freq=137 dstime=26 I=0.123291016 I₀=39.40625
        beamp=1 beamq=2 freq=137 dstime=26 I=0.123291016 I₀=39.40625
        beamp=2 beamq=2 freq=137 dstime=26 I=0.12322998 I₀=39.40625
        beamp=3 beamq=2 freq=137 dstime=26 I=0.123291016 I₀=39.40625
        beamp=4 beamq=2 freq=137 dstime=26 I=0.123291016 I₀=39.40625
        beamp=5 beamq=2 freq=137 dstime=26 I=0.12322998 I₀=39.40625
        beamp=6 beamq=2 freq=137 dstime=26 I=0.12322998 I₀=39.40625
        beamp=7 beamq=2 freq=137 dstime=26 I=0.12310791 I₀=39.40625
        beamp=8 beamq=2 freq=137 dstime=26 I=0.123291016 I₀=39.40625
        beamp=9 beamq=2 freq=137 dstime=26 I=0.123413086 I₀=39.40625
        beamp=10 beamq=2 freq=137 dstime=26 I=0.12322998 I₀=39.40625
        beamp=11 beamq=2 freq=137 dstime=26 I=0.123291016 I₀=39.40625
